time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration
2897,0,1.153116,1.509326,2.984028,0.2335584,0,0.8839511,1.41665,2.739384,0.007657738,-0.4472978
2910,0,1.152653,1.512079,2.984109,0.1987814,0,0.8839532,1.416544,2.739452,0.008956399,-1.738846
2925,0,1.152298,1.514474,2.984809,0.1799455,0,0.8839507,1.416406,2.73954,0.01167963,-0.9417981
2938,0,1.152092,1.51634,2.985777,0.1504684,0,0.8839577,1.416327,2.739579,0.006318053,-1.473855
2952,0,1.152105,1.51832,2.9869,0.1708731,0,0.8839471,1.416268,2.739606,0.004894551,1.020236
2966,0,1.152059,1.520441,2.988517,0.1890466,0,0.8839402,1.416217,2.73963,0.004036044,0.9086758
2980,0,1.151223,1.522277,2.990065,0.1785589,0,0.8839515,1.416197,2.739649,0.002076725,-0.5243883
2994,0,1.150059,1.523659,2.99164,0.1698043,0,0.8839521,1.416216,2.73965,0.001328799,-0.4377298
3008,0,1.148099,1.523881,2.993631,0.2054027,0,0.8839477,1.4163,2.739624,0.006459926,1.77992
3022,0,1.144887,1.522875,2.996225,0.3060738,0,0.883929,1.416402,2.73958,0.008127249,5.033559
3036,0,1.142433,1.521577,2.998956,0.2806826,0,0.8838716,1.416525,2.739521,0.01068395,-1.269561
3050,0,1.140314,1.519012,3.00224,0.3363555,0,0.8838295,1.416626,2.739483,0.008309695,2.783646
3064,0,1.139447,1.517095,3.005084,0.2510109,0,0.883811,1.41671,2.739456,0.006402023,-4.267231
3077,0,1.138981,1.515375,3.007444,0.213682,0,0.8838027,1.416768,2.739443,0.004324754,-1.866445
3092,0,1.137959,1.51386,3.009017,0.1723927,0,0.883791,1.416818,2.73944,0.003703573,-2.064466
3120,0,1.135046,1.512398,3.009963,0.2475188,0,0.883732,1.41684,2.739405,0.005264878,3.756306
3134,0,1.132742,1.512712,3.008884,0.1849804,0,0.8837057,1.416875,2.73936,0.004525969,-3.12692
3147,0,1.129326,1.513558,3.006542,0.3008128,0,0.8836697,1.416892,2.739322,0.003923314,5.791617
3161,0,1.12545,1.514104,3.003711,0.3391484,0,0.8836106,1.416947,2.739261,0.007095429,1.916784
3175,0,1.121596,1.514891,3.000496,0.3722299,0,0.8835588,1.417039,2.739198,0.008982691,1.654075
3189,0,1.116846,1.516104,2.995797,0.4694477,0,0.8834804,1.417211,2.739099,0.0147904,4.860887
3203,0,1.112019,1.51671,2.991322,0.5036892,0,0.8834007,1.417386,2.739015,0.01599587,1.712078
3217,0,1.105846,1.516928,2.985939,0.5856853,0,0.8833597,1.417501,2.73899,0.008884215,4.099804
3230,0,1.098485,1.517054,2.980389,0.6576056,0,0.8833587,1.4175,2.739011,0.00148213,3.596017
3244,0,1.0893,1.517365,2.97377,0.8146338,0,0.8833531,1.417489,2.739063,0.003865975,7.85141
3259,0,1.080773,1.517965,2.96719,0.7730854,0,0.8833529,1.417257,2.739267,0.02212075,-2.077425
3273,0,1.07342,1.518449,2.960829,0.6949401,0,0.8833613,1.41682,2.739531,0.03644679,-3.907263
3287,0,1.066584,1.518729,2.954365,0.6734924,0,0.8834146,1.41626,2.739815,0.04508141,-1.072383
3300,0,1.059643,1.518799,2.947701,0.6963161,0,0.8835325,1.415504,2.740151,0.06052412,1.141182
3316,0,1.051922,1.518961,2.94043,0.7171394,0,0.883621,1.415043,2.740314,0.03358303,1.041165
3329,0,1.04321,1.519356,2.932672,0.8857772,0,0.8836703,1.414904,2.740332,0.01124856,8.43189
3342,0,1.03376,1.519644,2.924386,0.9013746,0,0.8837309,1.414959,2.740252,0.00817522,0.7798702
3356,0,1.023838,1.519663,2.915708,0.9478139,0,0.8837264,1.415109,2.740165,0.01243558,2.321965
3370,0,1.014123,1.519608,2.906973,0.9497392,0,0.8837304,1.415201,2.74012,0.007462683,0.09626746
3384,0,1.004602,1.51956,2.897708,0.9626683,0,0.883808,1.415293,2.740041,0.01046805,0.6464541
3398,0,0.9956141,1.520098,2.888459,0.9257668,0,0.8838995,1.415586,2.73986,0.02553248,-1.845077
3412,0,0.9868816,1.521293,2.878767,0.9443069,0,0.8839718,1.415888,2.739705,0.02499971,0.9270042
3426,0,0.9876727,1.522004,2.787631,6.47381,0,0.8934874,1.416042,2.65852,5.80608,276.4752
3440,0,0.9789085,1.521863,2.777534,0.9524588,0,0.8934368,1.416091,2.658505,0.005170893,-276.0676
3453,0,0.9937344,1.521737,2.666296,8.248677,0,0.9168829,1.416072,2.557508,7.621063,364.8109
3467,0,0.9858117,1.521739,2.655864,0.93929,0,0.9168506,1.416053,2.557512,0.002688779,-365.4694
3481,0,1.003544,1.521738,2.557296,7.162901,0,0.9411713,1.416006,2.468786,6.579829,311.1806
3495,0,0.9975556,1.522236,2.547714,0.8014992,0,0.9410125,1.415895,2.468812,0.01384981,-318.0701
